 num     #instances         #bytes  class name (module)
 321:             1             40  [Ljava.time.format.TextStyle; (java.base@17)
 322:             1             40  [Ljava.util.stream.StreamOpFlag; (java.base@17)
 323:             1             40  [Lsun.nio.fs.WindowsPathType; (java.base@17)
 324:             1             40  [Lsun.util.locale.provider.LocaleProviderAdapter$Type; (java.base@17)
 325:             1             40  [[Ljava.lang.invoke.LambdaForm$Name; (java.base@17)
 326:             1             40  java.io.BufferedInputStream (java.base@17)
 327:             1             40  java.lang.ArithmeticException (java.base@17)
 328:             1             40  java.lang.Package$VersionInfo (java.base@17)
 329:             1             40  java.lang.VirtualMachineError (java.base@17)
 330:             1             40  java.lang.invoke.VarHandle$AccessDescriptor (java.base@17)
 331:             1             40  java.net.Socket (java.base@17)
 332:             1             40  java.time.format.DateTimeFormatterBuilder (java.base@17)
 333:             1             40  java.time.format.DateTimeFormatterBuilder$FractionPrinterParser (java.base@17)
 334:             1             40  java.time.zone.ZoneRules (java.base@17)
 335:             1             40  java.util.ResourceBundle$2 (java.base@17)
 336:             1             40  jdk.internal.loader.URLClassPath (java.base@17)
 337:             1             40  jdk.internal.ref.Cleaner (java.base@17)
 338:             1             40  jdk.internal.ref.CleanerImpl$CleanerCleanable (java.base@17)
 339:             1             40  sun.nio.cs.StandardCharsets$Aliases (java.base@17)
 340:             1             40  sun.nio.cs.StandardCharsets$Cache (java.base@17)
 341:             1             40  sun.nio.cs.StandardCharsets$Classes (java.base@17)
 342:             1             40  sun.nio.cs.US_ASCII$Decoder (java.base@17)
 343:             1             40  sun.nio.cs.UTF_8$Decoder (java.base@17)
 344:             1             40  sun.text.resources.cldr.FormatData (java.base@17)
 345:             1             40  sun.text.resources.cldr.ext.FormatData_ru (jdk.localedata@17)
 346:             1             40  sun.util.locale.InternalLocaleBuilder (java.base@17)
 347:             1             40  sun.util.resources.Bundles$1 (java.base@17)
 348:             2             32  [Ljava.lang.StackTraceElement; (java.base@17)
 349:             1             32  [Ljava.lang.ThreadGroup; (java.base@17)
 350:             2             32  [Ljava.lang.annotation.Annotation; (java.base@17)
 351:             1             32  [Ljava.lang.invoke.LambdaFormEditor$Transform; (java.base@17)
 352:             1             32  [Ljava.lang.module.ModuleDescriptor$Modifier; (java.base@17)
 353:             1             32  [Ljava.lang.module.ModuleDescriptor$Requires$Modifier; (java.base@17)
 354:             1             32  [Ljava.net.Proxy$Type; (java.base@17)
 355:             1             32  [Ljava.net.StandardProtocolFamily; (java.base@17)
 356:             1             32  [Ljava.time.format.DateTimeFormatterBuilder$SettingsParser; (java.base@17)
 357:             1             32  [Ljava.time.format.ResolverStyle; (java.base@17)
 358:             1             32  [Ljava.time.temporal.IsoFields$Field; (java.base@17)
 359:             1             32  [Ljava.time.temporal.JulianFields$Field; (java.base@17)
 360:             1             32  [Ljava.util.regex.Pattern$Qtype; (java.base@17)
 361:             1             32  [Ljava.util.stream.StreamShape; (java.base@17)
 362:             1             32  [Ljdk.internal.module.ServicesCatalog; (java.base@17)
 363:             1             32  [Lsun.nio.fs.NativeBuffer; (java.base@17)
 364:             1             32  java.io.FileInputStream (java.base@17)
 365:             1             32  java.io.WinNTFileSystem (java.base@17)
 366:             2             32  java.lang.Boolean (java.base@17)
 367:             1             32  java.lang.Module$ArchivedData (java.base@17)
 368:             1             32  java.lang.module.ModuleDescriptor$Version (java.base@17)
 369:             2             32  java.nio.ByteOrder (java.base@17)
 370:             1             32  java.nio.DirectByteBuffer$Deallocator (java.base@17)
 371:             2             32  java.time.format.DateTimeFormatterBuilder$StringLiteralPrinterParser (java.base@17)
 372:             2             32  java.util.Collections$SingletonSet (java.base@17)
 373:             1             32  java.util.Collections$UnmodifiableMap (java.base@17)
 374:             2             32  java.util.HashMap$Values (java.base@17)
 375:             2             32  java.util.IdentityHashMap$KeySet (java.base@17)
 376:             2             32  java.util.LinkedHashMap$LinkedEntrySet (java.base@17)
 377:             2             32  java.util.ResourceBundle$SingleFormatControl (java.base@17)
 378:             2             32  java.util.concurrent.ConcurrentHashMap$EntrySetView (java.base@17)
 379:             2             32  java.util.concurrent.locks.ReentrantLock (java.base@17)
 380:             2             32  java.util.regex.Pattern$$Lambda$19/0x800000025 (java.base@17)
 381:             2             32  java.util.regex.Pattern$BranchConn (java.base@17)
 382:             1             32  java.util.zip.ZipCoder$UTF8ZipCoder (java.base@17)
 383:             1             32  jdk.internal.loader.ArchivedClassLoaders (java.base@17)
 384:             2             32  jdk.internal.loader.ClassLoaderValue (java.base@17)
 385:             2             32  jdk.internal.module.ModuleResolution (java.base@17)
 386:             1             32  jdk.internal.org.objectweb.asm.ConstantDynamic (java.base@17)
 387:             1             32  jdk.internal.org.objectweb.asm.Handle (java.base@17)
 388:             1             32  jdk.net.ExtendedSocketOptions$1 (jdk.net@17)
 389:             1             32  sun.instrument.InstrumentationImpl (java.instrument@17)
 390:             2             32  sun.util.resources.LocaleData (java.base@17)
 391:             1             24  [Ljava.io.File$PathStatus; (java.base@17)
 392:             1             24  [Ljava.lang.ClassValue$Entry; (java.base@17)
 393:             1             24  [Ljava.lang.invoke.MethodHandles$Lookup$ClassOption; (java.base@17)
 394:             1             24  [Ljava.net.URL; (java.base@17)
 395:             1             24  [Ljava.time.temporal.IsoFields$Unit; (java.base@17)
 396:             1             24  [Ljava.util.Locale$Category; (java.base@17)
 397:             1             24  [Ljava.util.jar.Manifest; (java.base@17)
 398:             1             24  java.lang.ClassValue$Version (java.base@17)
 399:             1             24  java.lang.Double (java.base@17)
 400:             1             24  java.lang.StringBuilder (java.base@17)
 401:             1             24  java.lang.invoke.MethodType$ConcurrentWeakInternSet (java.base@17)
 402:             1             24  java.lang.invoke.VarHandles$1 (java.base@17)
 403:             1             24  java.lang.reflect.ReflectPermission (java.base@17)
 404:             1             24  java.net.Inet6AddressImpl (java.base@17)
 405:             1             24  java.net.Proxy (java.base@17)
 406:             1             24  java.net.Socket$SocketInputStream (java.base@17)
 407:             1             24  java.time.ZoneRegion (java.base@17)
 408:             1             24  java.time.format.DecimalStyle (java.base@17)
 409:             1             24  java.time.temporal.IsoFields$Field$1 (java.base@17)
 410:             1             24  java.time.temporal.IsoFields$Field$2 (java.base@17)
 411:             1             24  java.time.temporal.IsoFields$Field$3 (java.base@17)
 412:             1             24  java.time.temporal.IsoFields$Field$4 (java.base@17)
 413:             1             24  java.time.zone.TzdbZoneRulesProvider (java.base@17)
 414:             1             24  java.util.Arrays$ArrayList (java.base@17)
 415:             1             24  java.util.Collections$EmptyMap (java.base@17)
 416:             1             24  java.util.Collections$UnmodifiableRandomAccessList (java.base@17)
 417:             1             24  java.util.Locale$Cache (java.base@17)
 418:             1             24  java.util.OptionalInt (java.base@17)
