 num     #instances         #bytes  class name (module)
 372:             1             24  jdk.internal.module.SystemModuleFinders$SystemModuleReader (java.base@17)
 373:             1             24  jdk.internal.ref.CleanerImpl (java.base@17)
 374:             1             24  ru.job4j.tracker.MemTracker
 375:             1             24  ru.job4j.tracker.ValidateInput
 376:             1             24  sun.instrument.TransformerManager (java.instrument@17)
 377:             1             24  sun.nio.ch.Util$BufferCache (java.base@17)
 378:             1             24  sun.nio.cs.ISO_8859_1 (java.base@17)
 379:             1             24  sun.nio.cs.MS1251 (java.base@17)
 380:             1             24  sun.nio.cs.StandardCharsets (java.base@17)
 381:             1             24  sun.nio.cs.US_ASCII (java.base@17)
 382:             1             24  sun.nio.cs.UTF_16 (java.base@17)
 383:             1             24  sun.nio.cs.UTF_16BE (java.base@17)
 384:             1             24  sun.nio.cs.UTF_16LE (java.base@17)
 385:             1             24  sun.nio.cs.UTF_8 (java.base@17)
 386:             1             24  sun.nio.fs.WindowsFileSystem (java.base@17)
 387:             1             24  sun.util.cldr.CLDRTimeZoneNameProviderImpl (java.base@17)
 388:             1             24  sun.util.locale.BaseLocale$Cache (java.base@17)
 389:             1             24  sun.util.locale.provider.DecimalFormatSymbolsProviderImpl (java.base@17)
 390:             1             24  sun.util.locale.provider.LocaleServiceProviderPool (java.base@17)
 391:             1             24  sun.util.locale.provider.NumberFormatProviderImpl (java.base@17)
 392:             1             24  sun.util.locale.provider.TimeZoneNameProviderImpl (java.base@17)
 393:             1             16  [D (java.base@17)
 394:             1             16  [F (java.base@17)
 395:             1             16  [Ljava.lang.Throwable; (java.base@17)
 396:             1             16  [Ljava.security.cert.Certificate; (java.base@17)
 397:             1             16  [Ljava.text.FieldPosition; (java.base@17)
 398:             1             16  [Ljava.util.regex.IntHashSet; (java.base@17)
 399:             1             16  [Lsun.instrument.TransformerManager$TransformerInfo; (java.instrument@17)
 400:             1             16  java.io.FileDescriptor$1 (java.base@17)
 401:             1             16  java.io.RandomAccessFile$2 (java.base@17)
 402:             1             16  java.lang.CharacterData00 (java.base@17)
 403:             1             16  java.lang.CharacterDataLatin1 (java.base@17)
 404:             1             16  java.lang.ClassValue$Identity (java.base@17)
 405:             1             16  java.lang.Float (java.base@17)
 406:             1             16  java.lang.Runtime (java.base@17)
 407:             1             16  java.lang.String$CaseInsensitiveComparator (java.base@17)
 408:             1             16  java.lang.System$2 (java.base@17)
 409:             1             16  java.lang.Terminator$1 (java.base@17)
 410:             1             16  java.lang.invoke.ClassSpecializer$1 (java.base@17)
 411:             1             16  java.lang.invoke.MemberName$Factory (java.base@17)
 412:             1             16  java.lang.invoke.MethodHandleImpl$1 (java.base@17)
